"title","date","reads","shares","follows","delivered","delivery_rate","read_finish_rate","content_url"
"你做得越复杂，领导越觉得普通：实现难度，不等于事情价值","20260315","26","1","1","38","0.157894731","0.192307696","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484195&idx=1&sn=c5875a821aff16191aed9c9c6f68aa8f&chksm=c0ee4e65f799c773dec1b9a828a556c4afa0e8c369c8cbff6f4ea3d0ee27b947cc0e77fb360c#rd"
"很多执行层的疲惫，是总在替没想清楚的问题买单","20260314","65","3","0","37","0.135135129","0.246153846","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484181&idx=1&sn=d6194e0911d7ee7556e329c271dfc8d1&chksm=c0ee4e53f799c745c281226f521ab367afbc801c012782beb6e22042c4b969746a00813acafd#rd"
"35岁后最危险的，不是能力不够，而是越来越像一个稳定执行器","20260313","113","5","0","36","0.138888896","0.203539819","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484176&idx=1&sn=ebb4f402cebc39eae26bd77ee6e8afe2&chksm=c0ee4e56f799c740b6265b24c2b15e83e27839eda4af3083fa8c53111856c396c25daf11d0ef#rd"
"技术会议最危险的，不是没人发言，而是太早开始聊方案","20260312","515","30","10","35","0.514285743","0.299029112","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484171&idx=1&sn=c5f34dc48489e05c5d5621329d8c0706&chksm=c0ee4e4df799c75b983022331d99a9ee653ba4771d751b833a407b2e24cc001c082c875b24ec#rd"
"技术人为什么会对“复盘式追问”特别敏感？","20260311","40605","1688","342","32","1","0.307696104","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484164&idx=1&sn=633667e06ac608710dbe52d235eca331&chksm=c0ee4e42f799c754d32baea638def107b1ba889c2bc1db9e17de4c2745725ea0f2d1f4a315e8#rd"
"为什么越专业的技术领导，越容易把团队带窒息","20260310","1005","32","15","31","0.258064508","0.353233844","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484158&idx=1&sn=8e0d48f7eebe40a29e3938afe97c520c&chksm=c0ee4fb8f799c6aec9f1324ea0e23ca85c5187709742cd80f1d736e0ea744ea371912cbc77d0#rd"
"系统没出事，为什么技术人还是越复盘越窒息","20260309","105","5","1","31","0.258064508","0.27619049","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484165&idx=1&sn=9b55a0667586512d716e1ccf37d757fe&chksm=c0ee4e43f799c7554920d136bd2ea34055d096cc8a921ef96ae792b42ab103d8c3400bc3ae18#rd"
"会议效率的真相：谁说出约束，谁结束会议","20260308","124","6","2","30","0.13333334","0.411290318","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484146&idx=1&sn=240d8be9dc3712e59e0da9645e5065af&chksm=c0ee4fb4f799c6a2bf63179905bc2e078758f9d6e8d4c1d53c213fc17fccff3e0f626afab46d#rd"
"“先做一个版本再看”，很多时候不是敏捷，是甩锅","20260307","26","2","0","30","0.166666672","0.15384616","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484141&idx=1&sn=292ba31da2ff08c0da42028d12f3fb29&chksm=c0ee4fabf799c6bd65fd816ca551b8e55fbeee9ff94869aee847fb9feae91af20471cbed80fd#rd"
"很多需求不是写出来的，是在会议里被逼供出来的","20260306","119","3","0","29","0.172413796","0.218487397","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484135&idx=1&sn=f9d91f924bfc1256542b8ec63f7db7bb&chksm=c0ee4fa1f799c6b7dc5a2c0c8d367230fbb8cc0a0375e00a824de8b3eda09fd79a3d0d857ce5#rd"
"技术会议最危险的一句话：大家应该都理解了吧？","20260305","589","16","1","27","0.518518507","0.266553491","http://mp.weixin.qq.com/s?__biz=MzkwNjAwOTY0MQ==&mid=2247484130&idx=1&sn=1b2a14deac6fd0bf78c2a175ab25f7b9&chksm=c0ee4fa4f799c6b2475a99f5e0a66a5bfc59d7307660072cde33edc4dc46a678aeec07b491f2#rd"
